"Exporter","Importer","Year","App.","Taxon","Class","Order","Family","Genus","Origin","Importer.reported.quantity","Exporter.reported.quantity","Term","Unit","Purpose","Source","id","importer_country","importer_iso3","importer_code","importer_lat","importer_long","exporter_country","exporter_iso3","exporter_code","exporter_lat","exporter_long"
"CH","US",1996,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,5,"ivory carvings","","","O",2098,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","US",2008,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,NA,"tusks","","P","I",5547,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","DE",2005,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","sets","T","O",4831,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","DE",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,2,"ivory carvings","","Q","O",7154,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","IT",1996,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory pieces","","","O",2049,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","PT",2011,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",4,NA,"carvings","","T","O",6470,"Portugal","PRT",620,39.5,-8,"Switzerland","CHE",756,47,8
"CH","TR",2007,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory carvings","","T","O",5257,"Turkey","TUR",792,39,35,"Switzerland","CHE",756,47,8
"CH","AU",1995,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",8,NA,"ivory carvings","","P","O",1776,"Australia","AUS",36,-27,133,"Switzerland","CHE",756,47,8
"CH","GR",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory carvings","","T","O",7229,"Greece","GRC",300,39,22,"Switzerland","CHE",756,47,8
"CH","HU",2014,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,NA,"derivatives","","T","O",7664,"Hungary","HUN",348,47,20,"Switzerland","CHE",756,47,8
"CH","IT",2000,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",3,NA,"ivory pieces","","E","O",3254,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","US",1996,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory pieces","","","O",2099,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","DE",2010,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"tusks","","T","O",6021,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","US",1983,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,11,"ivory carvings","","","",280,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
